Date,Close,Volume
13/12/2013,15.18,61575600
12/12/2013,15.25,76113900
11/12/2013,15.25,117565000
10/12/2013,15.56,67486300
09/12/2013,15.58,50167200
06/12/2013,15.56,92203100
05/12/2013,15.43,95230500
04/12/2013,15.63,96678100
03/12/2013,15.54,106450300
02/12/2013,15.73,92987400
29/11/2013,15.82,44288400
27/11/2013,15.83,75503600
26/11/2013,15.88,114833700
25/11/2013,15.81,153765500
22/11/2013,15.64,110331100
21/11/2013,15.59,142053600
20/11/2013,15.14,107174900
19/11/2013,15.2,161505600
18/11/2013,14.92,145554400
15/11/2013,14.92,105475300
14/11/2013,14.8,128999400
13/11/2013,14.64,128018500
12/11/2013,14.32,69498300
11/11/2013,14.4,66357400
08/11/2013,14.32,158227300
07/11/2013,13.8,80775000
06/11/2013,13.96,66712900
05/11/2013,13.93,71809700
04/11/2013,14.04,53063200
01/11/2013,14.02,75610400
31/10/2013,13.97,105713400
30/10/2013,14.17,76624200
29/10/2013,14.15,79563100
28/10/2013,14.23,62328000
25/10/2013,14.26,58592400
24/10/2013,14.17,92566100
23/10/2013,14.21,108529700
22/10/2013,14.52,102836000
21/10/2013,14.52,91280600
18/10/2013,14.63,96986400
17/10/2013,14.66,94090800
16/10/2013,14.56,153481000
15/10/2013,14.24,102099300
14/10/2013,14.35,78367500
11/10/2013,14.19,83422000
10/10/2013,14.23,102305800
09/10/2013,13.84,96012800
08/10/2013,13.69,92746200
07/10/2013,13.81,64822700
04/10/2013,14.05,63495400
03/10/2013,14,95269000
02/10/2013,14.06,89186300
01/10/2013,13.9,57631000
30/09/2013,13.8,104439900
27/09/2013,13.9,79156000
26/09/2013,14.08,89352900
25/09/2013,14.14,86546100
24/09/2013,14.09,96912800
23/09/2013,14.14,127283100
20/09/2013,14.44,145174800
19/09/2013,14.61,79710700
18/09/2013,14.71,127092600
17/09/2013,14.55,73686100
16/09/2013,14.53,65276500
13/09/2013,14.49,56793400
12/09/2013,14.48,63355900
11/09/2013,14.65,81098900
10/09/2013,14.61,93180300
09/09/2013,14.48,53447300
06/09/2013,14.36,75513100
05/09/2013,14.37,71229200
04/09/2013,14.32,71132500
03/09/2013,14.25,74628700
30/08/2013,14.12,73233400
29/08/2013,14.17,76691500
28/08/2013,14.12,96473600
